date,name,tier,lp,score
2025-12-01,03년생일반고학생#공부하는중,Emerald III,4,21.04
2025-07-26,LOV3#КR1,Emerald III,20,21.2
2025-08-26,Shayd#V0ID,Emerald IV,6,20.06
2025-11-28,Synow#KR1,Gold I,46,15.46
2025-12-12,T1 Zeus#jung4,Silver II,99,10.99
2025-07-10,가을와이번스#KR1,Platinum IV,24,16
2025-06-21,강철의주먹연우#KR1,Platinum III,18,17.18
2025-07-13,그건정글탓입니다#KR1,Gold III,15,13.15
2025-11-24,날씨가너무덥네요#KR1,Emerald IV,83,20.83
2026-01-08,닥터hong#KR1,Platinum IV,84,16.84
2025-07-04,두유남진원#KR2,Platinum III,37,17.37
2025-08-20,우리좋은말만써요#KR1,Silver I,10,11.1
2025-12-06,이렐꼴1픽#KR1,Bronze III,2,5.02
2025-02-22,춘봉박#알콜장전,Gold III,1,13.01
2025-09-27,탬탬버린유튜브좋아요#KR2,Gold II,2,14.02